Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Target
mau mau,balon combo,2004,01,0.657,0.929,11.0,-7.104,0.0,0.0757,0.124,0.0,0.0932,0.885,97.862,0
talking heads,two note swivel ,1983,05,0.883,0.468,7.0,-11.893,1.0,0.0434,0.00735,0.525,0.111,0.799,116.123,0
pearl jam,you are,1996,08,0.427,0.884,4.0,-8.631,1.0,0.0905,0.0301,0.211,0.109,0.623,176.563,0
saosin,bury your head ,2006,01,0.319,0.926,6.0,-3.865,0.0,0.0487,0.000121,0.000978,0.338,0.359,166.051,0
usher,pianolude,1999,03,0.273,0.282,8.0,-17.855,1.0,0.0391,0.648,0.000108,0.915,0.465,104.199,0
bikini machine,the race,2010,04,0.121,0.781,9.0,-4.349,0.0,0.0427,5.34e-05,0.843,0.137,0.0741,163.59,0
aphasia,sample processing failed ,2001,04,0.417,0.961,5.0,-0.866,1.0,0.245,0.238,0.854,0.672,0.195,129.899,0
sergio dalma,un cachito de ti,1995,01,0.521,0.809,11.0,-5.275,1.0,0.0321,0.19,0.0,0.321,0.76,164.015,0
blue october,blue skies,2009,01,0.642,0.963,7.0,-6.915,1.0,0.154,0.048,0.0,0.178,0.417,116.884,0
delirious,god you are my god,2000,10,0.418,0.663,9.0,-10.013,1.0,0.0399,0.0308,0.00197,0.111,0.133,91.305,0
2 minutos,tema de adrian,2007,12,0.261,0.935,0.0,-3.371,1.0,0.0688,0.00176,0.0,0.535,0.74,166.724,0
bebo norman,sunday,2006,09,0.498,0.554,5.0,-10.709,1.0,0.0307,0.359,1.54e-06,0.0687,0.315,90.187,0
fat joe,my fofo  ,2005,06,0.53,0.839,10.0,-7.008,1.0,0.366,0.00515,0.0,0.311,0.436,124.106,0
john mayall & the bluesbreakers,looking back,1989,01,0.667,0.438,2.0,-12.16,0.0,0.0351,0.508,0.0,0.126,0.898,131.617,0
marshall crenshaw,rave on ,2005,03,0.642,0.365,8.0,-10.092,1.0,0.0361,0.855,0.0,0.104,0.861,81.458,0
mindy mccready,ten thousand angels,1996,04,0.469,0.606,10.0,-5.684,1.0,0.0357,0.151,0.0,0.078,0.53,201.26,0
owsley,class clown/good old days ,1999,03,0.223,0.684,9.0,-8.151,1.0,0.0409,0.00756,0.000272,0.262,0.183,191.973,0
4him,strange way to save the world,1997,09,0.487,0.165,2.0,-18.339,1.0,0.0333,0.813,0.0,0.0951,0.335,119.667,0
sade,all about our love,2000,11,0.799,0.521,4.0,-8.421,1.0,0.0355,0.182,0.00975,0.0913,0.646,81.043,0
joe bonamassa,i know a place,2010,03,0.485,0.724,7.0,-6.734,1.0,0.0388,0.168,0.00122,0.16,0.604,149.895,0
asleep at the wheel,the letter that johnny walker read,2004,04,0.537,0.524,1.0,-7.573,0.0,0.0513,0.16,7.33e-06,0.0846,0.55,121.973,0
the killers,a dustland fairytale,2008,11,0.429,0.841,2.0,-6.501,1.0,0.0553,0.0436,0.0,0.0976,0.33,134.37,0
themselves,crayon sharpener,1999,01,0.814,0.573,1.0,-13.452,1.0,0.21,0.554,3.19e-05,0.0969,0.546,167.885,0
david arkenstone,the forgotten lands,1996,01,0.562,0.525,9.0,-14.594,1.0,0.0283,0.456,0.883,0.311,0.713,141.957,0
it dies today,one the road ,2006,10,0.329,0.963,4.0,-3.501,1.0,0.145,1.87e-05,0.00138,0.222,0.205,116.847,0
mouth of the architect,harboring an apparition,2018,06,0.421,0.86,8.0,-7.335,1.0,0.0387,0.000143,0.901,0.137,0.0399,125.047,0
seventh day slumber,shattered life,2005,01,0.406,0.895,2.0,-5.282,0.0,0.0563,0.000429,3.25e-05,0.12,0.278,150.326,0
strata,night falls ,2007,01,0.292,0.963,5.0,-3.748,0.0,0.106,0.0225,0.000247,0.197,0.303,125.374,0
willie isz,violet heart box,2009,06,0.284,0.748,11.0,-6.673,1.0,0.0726,0.00838,0.00116,0.378,0.215,113.95,0
jeremy spencer,it hurts me too,2006,04,0.373,0.219,0.0,-15.557,1.0,0.0326,0.925,0.582,0.137,0.303,184.524,0
kanye west,diamonds from sierra leone,2005,09,0.658,0.803,7.0,-3.742,1.0,0.258,0.244,0.0,0.201,0.471,96.808,0
phantom planet,the meantime,2004,03,0.471,0.978,11.0,-3.124,0.0,0.12,4.86e-05,0.105,0.285,0.333,132.809,0
samy deluxe,die meisten,2001,01,0.694,0.853,1.0,-7.731,1.0,0.274,0.0136,0.0,0.0312,0.932,171.706,0
open hand,11th street,2003,01,0.199,0.908,10.0,-4.644,1.0,0.0795,0.00703,1.89e-06,0.793,0.462,154.59,0
the pharcyde,the climb/paranoia,2004,07,0.739,0.856,9.0,-5.708,0.0,0.283,0.119,1.03e-05,0.237,0.467,80.935,0
howie day,collide,2003,10,0.636,0.625,11.0,-7.895,1.0,0.0277,0.222,5.35e-05,0.119,0.342,93.931,0
tyrone wells,need,2006,01,0.55,0.525,8.0,-6.673,0.0,0.0464,0.0725,0.0,0.0931,0.366,159.932,0
joe bonamassa,stop!,2009,02,0.349,0.523,11.0,-7.749,0.0,0.0382,0.362,0.000598,0.386,0.311,169.283,0
el gran combo de puerto rico,no hay manera,2016,08,0.832,0.627,7.0,-6.538,0.0,0.0494,0.561,0.0,0.115,0.95,96.147,0
fabolous,in my hood ,2004,10,0.746,0.673,1.0,-4.823,1.0,0.215,0.227,1.41e-06,0.0867,0.744,180.066,0
the last vegas,another lover,2009,04,0.33,0.974,6.0,-3.469,0.0,0.103,3.12e-05,0.000416,0.138,0.471,89.585,0
schoolyard heroes,the last man on earth,2007,01,0.473,0.494,0.0,-12.412,1.0,0.0403,0.64,0.0,0.119,0.248,117.472,0
epmd,for my people,1990,12,0.548,0.543,10.0,-9.755,0.0,0.299,0.00846,1.22e-06,0.397,0.38,92.913,0
sonora carruseles,que suene mi campana,2015,07,0.807,0.873,8.0,-5.579,1.0,0.0415,0.211,0.00429,0.18,0.654,100.895,0
gwen stefani,4 in the morning,2006,01,0.709,0.822,10.0,-6.178,1.0,0.0341,0.194,0.000153,0.119,0.456,92.409,0
zbigniew preisner,leaving the docks,1993,01,0.346,0.032,4.0,-22.884,0.0,0.0483,0.985,0.819,0.0751,0.0596,120.783,0
marco beltrami,1001 robots,2004,01,0.244,0.0409,1.0,-20.22,1.0,0.0446,0.575,0.697,0.111,0.0393,116.396,0
the distillers,coral fang ,2003,10,0.308,0.972,9.0,-3.372,1.0,0.0556,0.000901,0.0,0.386,0.445,189.911,0
arc angels,see what tomorrow brings,1992,01,0.562,0.512,8.0,-10.096,1.0,0.0339,0.0588,5.74e-06,0.0989,0.373,126.044,0
atomic rooster,take it for granted,2013,07,0.343,0.508,9.0,-12.218,0.0,0.0349,0.00673,0.308,0.117,0.292,134.977,0
unloco,nothing ,2000,10,0.538,0.845,6.0,-6.213,1.0,0.139,0.00756,0.0,0.159,0.724,149.233,0
less than jake,fucked,2008,03,0.32,0.781,9.0,-13.175,1.0,0.15,0.000827,3.36e-06,0.141,0.575,98.386,0
bloc party,zephyrus,2008,10,0.639,0.72,10.0,-7.318,0.0,0.349,0.0618,0.00107,0.0802,0.527,160.018,0
hank locklin,let me be the one,1976,01,0.651,0.569,7.0,-10.222,1.0,0.0435,0.639,0.0,0.287,0.716,108.678,0
joe lopez,me duele,2003,03,0.666,0.695,0.0,-6.382,1.0,0.109,0.477,0.0,0.128,0.865,161.966,0
jesus jones,nothing to hold me,1991,01,0.558,0.75,7.0,-14.226,1.0,0.0538,0.00316,0.000466,0.334,0.51,165.601,0
aesop rock,coma,2001,09,0.787,0.721,5.0,-7.965,0.0,0.314,0.122,5.69e-06,0.226,0.87,173.991,0
fito paez,tercer mundo,1990,06,0.747,0.78,7.0,-6.597,1.0,0.222,0.334,0.0,0.714,0.738,97.859,0
the crystal method,keep hope alive,1997,01,0.42,0.968,7.0,-9.047,1.0,0.07,0.00121,0.891,0.0921,0.37,124.837,0
los chunguitos,la medalla,2001,01,0.841,0.921,8.0,-5.414,1.0,0.139,0.231,0.0,0.0319,0.974,103.961,0
seventh day slumber,famous one,2009,01,0.344,0.712,5.0,-5.834,1.0,0.0398,0.00748,5.04e-05,0.242,0.534,178.031,0
marc shaiman,best in la,2007,01,0.122,0.0145,5.0,-25.444,1.0,0.0378,0.993,0.746,0.0771,0.0397,75.588,0
astarte,voyage to eternal life,2017,09,0.161,0.789,0.0,-4.9,1.0,0.0731,3.58e-06,0.262,0.269,0.0752,129.675,0
janet jackson,again ,1997,10,0.873,0.591,7.0,-8.942,1.0,0.102,0.0788,0.0071,0.104,0.496,123.091,0
lit,lovely day,1999,02,0.423,0.933,10.0,-4.029,1.0,0.0603,0.000353,0.0,0.125,0.405,134.881,0
the cardigans,explode,1998,01,0.673,0.421,6.0,-6.674,1.0,0.0311,8.16e-05,0.00057,0.0783,0.307,117.625,0
call to preserve,hindsight,2008,09,0.381,0.981,10.0,-1.9,0.0,0.237,7.72e-05,0.000812,0.354,0.625,103.401,0
ai ai ai,com una flama,2007,11,0.766,0.873,5.0,-4.994,0.0,0.0333,0.484,0.0,0.0908,0.888,91.987,0
dario marianelli,the harbour,2007,01,0.0802,0.13,5.0,-20.796,1.0,0.0399,0.918,0.747,0.08,0.084,70.484,0
bobby pulido,la rosa,2019,09,0.591,0.716,9.0,-8.379,1.0,0.147,0.093,0.000199,0.0524,0.738,196.552,0
funeral for a friend,kicking and screaming,2009,09,0.465,0.94,2.0,-4.096,1.0,0.0565,0.000554,0.0,0.27,0.503,134.033,0
bedrock,emerald,2015,12,0.649,0.873,7.0,-8.684,1.0,0.0419,0.000113,0.88,0.0913,0.1,121.994,0
alicia keys,karma,2003,12,0.727,0.736,10.0,-6.203,1.0,0.0615,0.0743,0.00311,0.0347,0.687,85.1,0
total fucking destruction,enslaved by propaganda,2007,05,0.16,0.96,4.0,-5.53,0.0,0.0943,3.87e-06,0.871,0.694,0.292,99.514,0
phil collins,testify,2002,11,0.533,0.735,0.0,-4.783,0.0,0.0265,0.01,0.243,0.154,0.102,85.085,0
gary go,open arms,2009,01,0.51,0.855,0.0,-5.73,1.0,0.0547,0.0917,3.1e-06,0.0791,0.2,131.943,0
he is legend,stampede,2006,01,0.524,0.964,7.0,-7.022,1.0,0.207,8.74e-05,0.00659,0.52,0.269,98.039,0
hot club of cowtown,the magic violin,2009,05,0.637,0.762,11.0,-8.895,0.0,0.0681,0.494,0.793,0.159,0.961,148.036,0
zombie girl,the darkness ,2007,03,0.523,0.771,11.0,-7.291,0.0,0.0307,0.000301,0.573,0.267,0.291,114.998,0
josh groban,lullaby [with ladysmith black mambazo] ,2006,10,0.226,0.143,1.0,-15.262,1.0,0.0352,0.891,1.39e-06,0.15,0.252,87.981,0
red hot chili peppers,parallel universe ,1999,06,0.343,0.983,0.0,-2.359,0.0,0.212,0.00107,0.296,0.0708,0.186,124.536,0
zbigniew preisner,the court,2015,07,0.298,0.0275,0.0,-27.565,0.0,0.0442,0.9,0.000117,0.176,0.0375,67.952,0
ffh,listen,2005,12,0.629,0.348,10.0,-14.378,1.0,0.378,0.719,0.0,0.292,0.925,69.987,0
non stop djs,hydraulic pimp,2007,02,0.762,0.816,1.0,-7.724,1.0,0.0685,0.0594,0.859,0.104,0.785,146.993,0
sandi thom,i wish i was a punk rocker ,2006,06,0.7,0.465,4.0,-6.815,1.0,0.358,0.544,0.0,0.606,0.719,108.102,0
firehouse,talk of the town,1992,03,0.656,0.747,1.0,-8.098,1.0,0.0316,4.11e-05,0.192,0.139,0.958,119.428,0
samy deluxe,denk,2004,01,0.493,0.893,1.0,-5.645,0.0,0.347,0.274,0.000163,0.255,0.636,70.858,0
casiotone for the painfully alone,attic room,2003,09,0.37,0.673,0.0,-5.106,1.0,0.0961,0.621,0.655,0.0605,0.525,98.346,0
will ackerman,a movie of a placid lake on a moonless night in september,1992,05,0.287,0.144,1.0,-17.977,0.0,0.0302,0.913,0.769,0.104,0.0379,91.451,0
digital mystikz,molten,2006,10,0.659,0.473,1.0,-6.52,1.0,0.0455,0.000888,0.849,0.357,0.0767,142.992,0
radio birdman,zeno beach,2007,02,0.306,0.933,1.0,-2.543,0.0,0.0531,7.22e-05,0.000128,0.334,0.311,99.374,0
the highwaymen,the road goes on forever,1995,01,0.714,0.633,2.0,-9.912,1.0,0.046,0.597,1.23e-05,0.0591,0.672,111.583,0
bobaflex,medicine,2005,08,0.631,0.846,7.0,-4.359,1.0,0.034,0.00497,0.0,0.483,0.547,103.959,0
jars of clay,love me,2006,08,0.476,0.929,2.0,-4.949,1.0,0.0528,0.000945,0.000409,0.0972,0.425,127.977,0
deftones,diamond eyes ,2010,04,0.331,0.845,8.0,-4.876,1.0,0.0551,0.000109,0.000212,0.0758,0.468,153.484,0
john mayall,the witching hour,2002,01,0.5,0.827,5.0,-5.086,0.0,0.0589,0.00374,0.000135,0.15,0.715,173.38,0
trick trick / obie trice,war,2005,01,0.881,0.573,10.0,-7.143,0.0,0.543,0.0107,2.78e-05,0.179,0.249,90.053,0
patty griffin,all creatures of our god and king,2010,01,0.315,0.0749,9.0,-14.356,1.0,0.0394,0.957,1.86e-06,0.0966,0.224,93.522,0
rita chiarelli,chiove,2011,03,0.329,0.0517,8.0,-14.781,1.0,0.0404,0.917,1.65e-06,0.111,0.169,78.724,0
roger creager,all for the sake of the song,2003,09,0.569,0.359,0.0,-9.188,1.0,0.0247,0.323,3.28e-06,0.119,0.368,80.979,0
cookies,believe in what i say,2016,08,0.77,0.623,1.0,-8.561,1.0,0.0527,0.000308,0.706,0.081,0.961,125.996,0
life in your way,when rules change,2005,06,0.23,0.94,5.0,-4.774,1.0,0.0871,0.00017,1.15e-05,0.784,0.299,90.901,0
sade,morning bird,2010,02,0.359,0.126,7.0,-17.325,0.0,0.0405,0.678,0.000483,0.143,0.0636,175.466,0
r.e.m.,final straw ,2004,01,0.519,0.636,0.0,-7.381,1.0,0.0272,0.0933,0.0507,0.12,0.415,107.48,0
nickelback,if today was your last day ,2008,10,0.485,0.911,3.0,-5.749,1.0,0.0355,8.67e-05,0.0,0.092,0.568,89.956,0
kane,damn those eyes,2004,05,0.26,0.461,10.0,-11.193,0.0,0.0569,0.447,0.0,0.147,0.161,167.788,0
britney spears,oops!...i did it again,2000,05,0.751,0.834,1.0,-5.444,0.0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,0
motograter,red ,2003,06,0.557,0.955,9.0,-5.226,1.0,0.0564,8.94e-05,0.223,0.615,0.394,144.006,0
bad brains,god of love ,1995,05,0.576,0.858,9.0,-5.619,1.0,0.0741,0.00283,0.00109,0.0854,0.444,105.615,0
colin james,better days,1995,01,0.678,0.499,10.0,-8.661,1.0,0.0465,0.338,6.38e-05,0.12,0.87,154.479,0
negura bunget,cunoasterea tacuta,2003,01,0.292,0.83,11.0,-3.617,0.0,0.0436,0.00116,0.752,0.245,0.126,130.46,0
showbread,dinosaur bones,2006,01,0.684,0.97,7.0,-4.699,1.0,0.123,0.00821,4.26e-05,0.0569,0.507,112.713,0
mudhoney,new meaning,2008,05,0.25,0.845,9.0,-6.084,1.0,0.0744,9.48e-06,4.79e-06,0.0979,0.243,144.632,0
winifred phillips,misty bog,2009,01,0.464,0.275,4.0,-11.786,1.0,0.0412,0.864,0.596,0.111,0.129,144.812,0
alex ubago,ciudad desierta,2009,03,0.513,0.763,7.0,-5.562,1.0,0.0305,0.214,1.45e-06,0.268,0.488,135.016,0
brooke white,hold up my heart,2009,02,0.334,0.567,2.0,-6.83,1.0,0.0353,0.423,0.0,0.0943,0.43,178.679,0
arthur tracy,a sailboat in the moonlight,2010,10,0.362,0.172,0.0,-15.122,1.0,0.0428,0.982,0.0705,0.153,0.178,67.36,0
themselves,directions to my special place,1999,01,0.629,0.486,2.0,-12.909,0.0,0.39,0.309,0.0,0.419,0.798,95.011,0
tina ann,i do ,2004,10,0.747,0.804,10.0,-4.449,0.0,0.0296,0.0131,0.00023,0.116,0.968,130.99,0
joy enriquez,between you and me,2001,03,0.736,0.692,8.0,-3.815,1.0,0.0423,0.0778,0.000784,0.0489,0.718,96.104,0
sonora carruseles,la chola caderona,2015,07,0.646,0.909,5.0,-3.508,0.0,0.0331,0.384,0.127,0.355,0.754,95.942,0
les ogres de barback,flute,2001,01,0.202,0.183,0.0,-10.632,0.0,0.0414,0.504,0.0883,0.126,0.122,77.694,0
danny barnes,big girl blues,2015,11,0.515,0.403,9.0,-9.383,1.0,0.0386,0.978,0.153,0.145,0.695,179.92,0
goldfish,tracy,2008,03,0.596,0.496,11.0,-7.241,0.0,0.0457,0.0904,0.00645,0.362,0.186,104.057,0
tina ann,rules of attraction ,2004,10,0.687,0.92,9.0,-2.28,0.0,0.0611,0.0557,0.0,0.111,0.668,127.928,0
urge overkill,crackbabies,1993,01,0.378,0.96,7.0,-6.463,1.0,0.0606,0.000244,0.0957,0.584,0.262,152.364,0
u.k. subs,fear of girls ,2016,07,0.186,0.771,7.0,-5.357,1.0,0.0434,0.000283,0.00138,0.39,0.444,88.641,0
the black crowes,roll old jeremiah,2009,08,0.505,0.507,7.0,-12.144,1.0,0.0292,0.16,0.00525,0.127,0.766,89.204,0
goose,bring it on,2006,09,0.66,0.919,6.0,-4.53,1.0,0.0521,0.00755,0.00621,0.299,0.66,119.953,0
annie lennox,little bird,1992,04,0.767,0.521,9.0,-9.145,1.0,0.0351,0.247,0.00124,0.303,0.672,124.995,0
beherit,sense,2007,01,0.341,0.0778,11.0,-21.847,1.0,0.11,0.529,0.613,0.233,0.0384,120.01,0
kitaro,harmony of the forest,2016,08,0.435,0.35,1.0,-15.103,0.0,0.0324,0.588,0.102,0.926,0.241,98.595,0
the distillers,ask the angels,2000,04,0.306,0.928,8.0,-3.134,1.0,0.0546,0.119,2.2e-05,0.37,0.468,141.283,0
sister hazel,vacation rain ,2009,08,0.439,0.693,9.0,-7.261,1.0,0.045,0.053,1.6e-05,0.168,0.766,199.881,0
lot lorien,byal ravnec,2010,02,0.334,0.599,5.0,-7.875,0.0,0.0329,0.534,0.328,0.338,0.398,163.011,0
jeff scott soto,2 late 4 goodbyes,2005,11,0.427,0.872,6.0,-4.724,1.0,0.0507,0.0026,0.0,0.297,0.373,124.658,0
wyclef jean,guantanamera,1997,06,0.833,0.431,2.0,-8.992,1.0,0.178,0.00195,0.000278,0.124,0.385,87.97,0
shakira,objection ,2001,11,0.603,0.864,11.0,-5.282,0.0,0.0677,0.0147,0.0,0.0246,0.705,179.344,0
maximilian hecker,polyester,2001,02,0.426,0.342,8.0,-10.716,1.0,0.0298,0.706,0.00106,0.125,0.0645,146.169,0
white willow,the dark road,2015,10,0.515,0.504,2.0,-6.936,1.0,0.0277,0.108,0.000127,0.126,0.143,112.959,0
alexandre desplat,breaking in,2006,02,0.569,0.263,2.0,-20.227,1.0,0.0408,0.659,0.875,0.136,0.036,92.038,0
matt redman,facedown,2003,03,0.364,0.421,6.0,-7.716,1.0,0.0269,0.378,0.0,0.108,0.173,156.027,0
the summer obsession,where you belong,2006,01,0.589,0.481,0.0,-6.833,1.0,0.0302,0.16,0.443,0.176,0.15,159.801,0
dons,american lovebite,2014,10,0.539,0.812,4.0,-8.35,1.0,0.033,0.058,0.0,0.118,0.533,132.044,0
stone temple pilots,down ,1999,10,0.411,0.953,6.0,-3.853,0.0,0.073,0.000209,0.0007,0.105,0.216,134.823,0
bodeans,back then,2010,04,0.595,0.78,9.0,-5.646,1.0,0.0475,0.11,1.12e-05,0.21,0.585,148.085,0
mint condition,call me,1999,10,0.761,0.533,1.0,-4.571,1.0,0.142,0.181,0.0,0.205,0.725,97.869,0
tin hat trio,scrap,2000,01,0.529,0.475,7.0,-13.761,0.0,0.0788,0.985,0.9,0.125,0.562,109.099,0
leaders of the new school,zearocks ,1993,09,0.775,0.729,10.0,-8.917,0.0,0.039,0.00229,0.86,0.373,0.818,101.909,0
lennie tristano,becoming ,1994,02,0.553,0.236,0.0,-13.811,1.0,0.0392,0.986,0.807,0.137,0.133,109.408,0
nightfall,so,2006,12,0.282,0.423,5.0,-10.318,1.0,0.0286,0.626,0.000402,0.112,0.213,170.495,0
mariachi silvestre vargas,cielito lindo,2009,09,0.264,0.295,7.0,-11.729,1.0,0.0327,0.907,0.458,0.142,0.328,177.397,0
ann hampton callaway,for all we know,2005,06,0.377,0.113,3.0,-15.279,1.0,0.0369,0.969,0.000386,0.105,0.201,173.002,0
orquesta america,boda de oro,2008,01,0.539,0.319,2.0,-9.762,0.0,0.0349,0.794,0.0878,0.213,0.361,110.452,0
les ogres de barback,de rien,1999,01,0.423,0.48,11.0,-10.627,0.0,0.0395,0.867,3.34e-06,0.107,0.511,201.256,0
youves,on probation,2009,05,0.558,0.814,7.0,-6.757,0.0,0.0739,0.000394,0.0,0.0255,0.855,142.0,0
john ottman,the people you care for,2006,05,0.206,0.303,5.0,-14.514,0.0,0.0392,0.878,0.914,0.111,0.0368,115.755,0
donna fargo,superman,1998,12,0.611,0.676,11.0,-11.581,1.0,0.0457,0.52,3.85e-06,0.283,0.954,99.769,0
leaders of the new school,the end is near ,1993,09,0.831,0.498,7.0,-12.321,1.0,0.318,0.0926,5.52e-06,0.249,0.561,97.334,0
marshall crenshaw,from now until then,2003,07,0.396,0.712,2.0,-5.468,1.0,0.0483,0.128,0.0,0.125,0.488,121.561,0
themselves,oversleeping,2009,10,0.668,0.939,6.0,-6.825,1.0,0.207,0.0297,0.0,0.396,0.681,116.953,0
murphy lee / zee,murphy lee,2003,01,0.855,0.513,8.0,-4.692,0.0,0.279,0.18,0.0,0.246,0.738,92.048,0
fernando ortega,pass me not ,2017,10,0.328,0.187,6.0,-10.936,1.0,0.0358,0.867,1.26e-05,0.1,0.299,115.898,0
the roches,we three kings,1990,09,0.469,0.0761,5.0,-17.396,1.0,0.0365,0.971,0.0,0.15,0.488,123.963,0
my chemical romance,the end. [live in mexico],2008,06,0.204,0.906,11.0,-9.925,0.0,0.373,0.0693,1.85e-05,0.521,0.187,178.226,0
iggy pop,main street eyes,1990,06,0.674,0.512,2.0,-11.754,1.0,0.0283,0.064,6.77e-06,0.527,0.731,131.983,0
static-x,night terrors ,2005,06,0.669,0.993,7.0,-3.307,1.0,0.149,8.2e-05,0.278,0.0773,0.146,120.604,0
the antlers,the carrying arms,2007,11,0.473,0.251,7.0,-19.664,1.0,0.0734,0.837,0.000217,0.193,0.42,150.06,0
heaven 17,we blame love,2014,06,0.559,0.902,7.0,-7.997,1.0,0.395,0.231,0.0,0.949,0.223,132.927,0
owl city,on the wing,2009,01,0.61,0.735,10.0,-6.647,1.0,0.0329,0.000509,0.000244,0.15,0.1,115.007,0
less than jake,automatic,1996,01,0.353,0.975,2.0,-2.877,1.0,0.0688,0.000155,2.99e-05,0.0796,0.684,132.628,0
busta rhymes,we got what you want,2001,11,0.617,0.462,11.0,-5.311,1.0,0.49,0.00331,0.0,0.12,0.805,80.845,0
the disposable heroes of hiphoprisy,music and politics,1992,01,0.722,0.307,2.0,-16.995,1.0,0.165,0.837,0.294,0.123,0.461,89.947,0
kt tunstall,under the weather,2005,01,0.418,0.449,0.0,-9.547,1.0,0.0366,0.874,7.83e-05,0.113,0.29,142.379,0
the ataris,make it last,1997,04,0.259,0.944,7.0,-5.16,1.0,0.0677,0.00042,0.0,0.253,0.624,118.437,0
nightwish,kuolema tekee taiteilijan,2004,06,0.164,0.304,9.0,-12.242,0.0,0.0319,0.367,0.00109,0.168,0.105,90.166,0
various production,bside,2009,04,0.578,0.552,1.0,-16.853,1.0,0.0558,0.00117,0.676,0.272,0.707,75.985,0
the black crowes,good morning captain,2009,08,0.318,0.565,7.0,-12.21,1.0,0.0358,0.223,0.0,0.715,0.463,131.953,0
tha liks,da da da da,2001,05,0.633,0.844,9.0,-5.101,1.0,0.404,0.0227,0.0,0.0786,0.823,94.263,0
cocoa tea,hurry up and come,2009,03,0.793,0.688,1.0,-5.598,0.0,0.0911,0.146,0.0,0.247,0.804,159.952,0
orbital,forever,1994,01,0.621,0.596,9.0,-13.363,0.0,0.0378,0.0617,0.212,0.587,0.348,131.996,0
busdriver,beauty supply and demand,2004,04,0.684,0.916,1.0,-9.142,1.0,0.0632,0.215,6.58e-06,0.198,0.62,121.374,0
x-ecutioners featuring tom tom club & biz markie,genius of love 2002 ,2002,02,0.931,0.772,7.0,-5.583,1.0,0.187,0.0343,0.000172,0.37,0.73,102.634,0
3 of hearts,is it love,2001,07,0.381,0.465,3.0,-8.523,1.0,0.0344,0.544,0.0,0.227,0.267,203.327,0
dave eggar,deep blue,2009,05,0.166,0.0371,0.0,-25.663,1.0,0.0415,0.741,0.897,0.107,0.0377,129.982,0
year of desolation,l.s.m.,2012,02,0.281,0.883,2.0,-5.294,1.0,0.136,4.7e-05,0.473,0.529,0.256,105.674,0
static-x,transmission ,2003,10,0.412,0.996,10.0,-3.807,0.0,0.25,0.00934,0.705,0.5,0.0396,170.1,0
zombie girl,we are the ones ,2006,05,0.517,0.825,5.0,-4.005,1.0,0.0355,0.0758,0.000933,0.636,0.153,123.0,0
dj harry,other side of you,2004,08,0.632,0.838,7.0,-6.285,1.0,0.0466,0.0222,0.0697,0.096,0.423,100.018,0
jake hess,i know where i am now,2006,01,0.718,0.306,2.0,-14.816,1.0,0.0345,0.709,4.61e-06,0.0507,0.319,99.956,0
bessie smith,chicago bound blues,1991,04,0.547,0.0603,9.0,-18.523,1.0,0.0389,0.995,0.0151,0.228,0.356,67.444,0
donnie mcclurkin,psalm 27,2000,08,0.546,0.631,5.0,-7.487,1.0,0.0608,0.477,9.91e-06,0.784,0.628,149.866,0
the cardigans,marvel hill,1998,01,0.549,0.601,11.0,-7.883,1.0,0.0267,1.95e-05,0.0242,0.192,0.205,105.843,0
kenny rogers,love is what we make it,1985,01,0.494,0.265,5.0,-16.899,1.0,0.0335,0.383,0.0,0.0964,0.238,137.549,0
snowgoons,michael nobody aka poetic death,2009,05,0.589,0.856,1.0,-5.079,1.0,0.252,0.279,2.06e-06,0.12,0.47,88.703,0
heavy d,private dancer,2008,09,0.54,0.734,2.0,-5.789,1.0,0.237,0.108,0.0,0.0503,0.719,76.563,0
brooke valentine,american girl,2005,01,0.861,0.623,9.0,-6.299,1.0,0.0694,0.0735,8.22e-05,0.113,0.941,130.429,0
bodies in the gears of the apparatus,xenophobic hate machine,2005,01,0.195,0.929,4.0,-6.136,1.0,0.0874,1.74e-06,0.811,0.1,0.213,133.209,0
bullet for my valentine,4 words ,2007,06,0.379,0.95,8.0,-2.895,1.0,0.0845,8.79e-05,0.000309,0.109,0.316,92.489,0
tinariwen,chatma,2004,10,0.81,0.422,9.0,-10.832,1.0,0.0353,0.217,0.133,0.0754,0.31,106.002,0
gorillaz,all alone ,2005,05,0.585,0.809,7.0,-7.837,1.0,0.125,0.00144,0.35,0.272,0.456,148.151,0
phil collins,please come out tonight,2004,09,0.39,0.243,3.0,-13.074,1.0,0.0296,0.853,0.00023,0.111,0.145,179.642,0
gertrudis,carita de rosa,2004,10,0.815,0.772,9.0,-5.042,0.0,0.0352,0.268,0.0,0.221,0.839,104.011,0
information society,slipping away/here is kazmeyer,1990,01,0.526,0.428,9.0,-15.124,1.0,0.0295,0.0917,4.32e-06,0.261,0.206,89.97,0
hatebreed,destroy everything ,2006,07,0.666,0.942,7.0,-3.356,1.0,0.0591,0.00253,0.0,0.114,0.581,110.019,0
anti-flag,the gre,2009,06,0.241,0.945,11.0,-4.842,1.0,0.0794,0.000348,0.0,0.0977,0.372,145.871,0
brokencyde,freaxxx,2012,10,0.566,0.74,1.0,-6.693,1.0,0.144,0.00204,0.0,0.127,0.131,119.884,0
epmd,head banger,2014,05,0.659,0.918,11.0,-3.868,1.0,0.301,0.0377,0.0,0.298,0.66,96.628,0
