Title,ArtistName
get money,junior m.a.f.i.a. featuring the notorious b.i.g.
be my lover,la bouche
closer to free (from "party of five"),bodeans
the world i know,collective soul
counting blue cars,dishwalla
please don't go,immature
1979,the smashing pumpkins
down low (nobody has to know),r. kelly featuring ronald isley
just a girl,no doubt
jealousy,natalie merchant
ain't no nigga/dead presidents,jay-z featuring foxxy brown
your loving arms,billie ray martin
all the things (your man won't do) (from "don't be a menace..."),joe
woo-hah!! got you all in check/everything remains raw,busta rhymes
the only thing that looks good on me is you,bryan adams
reach,gloria estefan
blue,leann rimes
back to the world,tevin campbell
one by one,cher
machinehead (from "fear"),bush
doin it,ll cool j
release me,angelina
renee,lost boyz
forever more,puff johnson
don't cry,seal
if i ruled the world,nas
you still touch me,sting
i want to come over,melissa etheridge
wrong,everything but the girl
5 o'clock,nonchalant
scarred (from "eddie"),luke
chains,tina arena
a thin line between love & hate (from "a thin line..."),h-town
in the meantime,spacehog
ain't nobody/kissing you,faith evans
i'll never stop loving you,j'son
can't get you off my mind,lenny kravitz
don't wanna lose you,lionel richie
lady,d'angelo
house keeper,men of vizion
one more try,kristine w
amish paradise,"weird al" yankovic
i will survive,chantay savage
you said,mona lisa
only happy when it rains,garbage
shadowboxin',genius/gza featuring method man
live and die for hip hop,kris kross
boom biddy bye bye,cypress hill
my maria,brooks & dunn
guilty (from "seven"),gravity kills
for the love of you,jordan hill
do you want to/can't hang,xscape featuring mc lyte
macarena,los del mar
this is your night,amber
heartspark dollarsign,everclear
i love you always forever,donna lewis
scary kisses,voice of the beehive
mr. ice cream man,master p
feel the music,planet soul featuring brenda dee
dreamer,livin' joy
esa nena linda,artie the 1 man party
the first night,monica
one week,barenaked ladies
how deep is your love,dru hill featuring redman
crush,jennifer paige
i don't want to miss a thing,aerosmith
lately,divine
because of you,98 degrees
this kiss,faith hill
i'll be,edwin mccain
my little secret,xscape
touch it,monifah
come and get with me,keith sweat featuring snoop dogg
westside,tq
the power of good-bye,madonna
when the lights go out,five
too close,next
nobody's supposed to be here,deborah cox
i still love you,next
never ever,all saints
my way,usher
time after time,inoj
you're still the one,shania twain
just the two of us,will smith
the boy is mine,brandy & monica
love me,112 featuring mase
daydreamin',tatyana ali
truly madly deeply,savage garden
all the places (i will kiss you),aaron hall
i can do that,montell jordan
adia,sarah mclachlan
splackavellie,pressha
so into you,tamia
thinkin' bout it,gerald levert
lookin' at me,mase featuring puff daddy
still a g thang,snoop dogg
make it hot,nicole featuring missy "misdemeanor" elliott & mocha
all my life,k-ci & jojo
movin' on,mya featuring silkk the shocker
superthug (what what),noreaga
wherever you go,voices of theory
still not a player,big punisher featuring joe
i don't want to wait,paula cole
friend of mine,kelly price
say it,voices of theory
ghetto supastar (that is what you are),pras michel feat. ol' dirty bastard & introducing mya
how's it going to be,third eye blind
together again,janet
pushin' weight,ice cube featuring mr. short khop
intergalactic,beastie boys
i had no right,p.m. dawn
cruel summer,ace of base
can i get a...,jay-z featuring amil (of major coinz) & ja
everything's gonna be alright,sweetbox
perfect,the smashing pumpkins
nobody else,tyrese
shimmer,fuel
if you could read my mind,stars on 54: ultra nate, amber, jocelyn enriquez
ray of light,madonna
whatcha wanna do?,mia x featuring charlie wilson
lost in love,nastyboy klick
26 cents,the wilkinsons
goodbye to my homies,master p featuring silkk the shocker, sons of funk and mo b. dick
don't let it go to your head,brand nubian
invasion of the flat booty b*****s,too $hort
better days,wc featuring jon b.
no fool no more,en vogue
come with me,puff daddy featuring jimmy page
ooh la la,rod stewart
yesterday,debelah morgan
music sounds better with you,stardust
money ain't a thang,jd featuring jay-z
only when i lose myself,depeche mode
landslide,fleetwood mac
can't we try,rockell [duet with collage]
for you i will,aaron tippin
whenever you're near me,ace of base
how's it goin' down,dmx featuring faith evans
the rockafeller skank,fatboy slim
touch me,solo
horse & carriage,cam'ron featuring mase
dr. greenthumb,cypress hill
gotta be,jagged edge
if i had the chance,cynthia
deadly zone,bounty killer featuring mobb deep & rappin' noyd
wide open spaces,dixie chicks
cleopatra's theme,cleopatra
i ain't havin' that,heltah skeltah featuring starang wondah of o.g.c. & doc holiday
a little past little rock,lee ann womack
life ain't easy,cleopatra
if i lost you,travis tritt
here we go,funkmaster flex presents khadejia featuring product
let me return the favor,andrea martin
the street mix,mag 7
woof woof,69 boyz
jackie's strength,tori amos
ava adore,the smashing pumpkins
i should cheat on you,j'son
nobody does it better,nate dogg featuring warren g
what i didn't know,athenaeum
what u see is what u get,xzibit
work,rihanna featuring drake
7 years,lukas graham
no,meghan trainor
pillowtalk,zayn
love yourself,justin bieber
my house,flo rida
stressed out,twenty one pilots
me  myself & i,g-eazy x bebe rexha
i took a pill in ibiza,mike posner
work from home,fifth harmony featuring ty dolla $ign
cake by the ocean,dnce
dangerous woman,ariana grande
sorry,justin bieber
panda,desiigner
never forget you,zara larsson & mnek
one call away,charlie puth
hands to myself,selena gomez
2 phones,kevin gates
hello,adele
roses,the chainsmokers featuring rozes
oui,jeremih
middle,dj snake featuring bipolar sunshine
stitches,shawn mendes
don't,bryson tiller
don't let me down,the chainsmokers featuring daya
down in the dm,yo gotti featuring nicki minaj
close,nick jonas featuring tove lo
low life,future featuring the weeknd
exchange,bryson tiller
let it go,james bay
you should be here,cole swindell
jumpman,drake & future
the hills,the weeknd
youth,troye sivan
drunk on your love,brett eldredge
summer sixteen,drake
back to sleep,chris brown
hotline bling,drake
cheap thrills,sia featuring sean paul
679,fetty wap featuring remy boyz
what do you mean?,justin bieber
say it,tory lanez
somewhere on a beach,dierks bentley
humble and kind,tim mcgraw
die a happy man,thomas rhett
like i'm gonna lose you,meghan trainor featuring john legend
lost boy,ruth b
came here to forget,blake shelton
white iverson,post malone
my church,maren morris
the sound of silence,disturbed
i like the sound of that,rascal flatts
think of you,chris young duet with cassadee pope
really really,kevin gates
snapback,old dominion
confession,florida georgia line
company,justin bieber
when we were young,adele
needed me,rihanna
wild things,alessia cara
new romantics,taylor swift
cut it,o.t. genasis featuring young dolph
t-shirt,thomas rhett
that don't sound like you,lee brice
try everything,shakira
best friend,young thug
promise,kid ink featuring fetty wap
sugar,robin schulz featuring francesco yates
jimmy choo,fetty wap
acquainted,the weeknd
team,iggy azalea
noise,kenny chesney
like i would,zayn
mind reader,dustin lynch
stand by you,rachel platten
beautiful drug,zac brown band
might not,belly featuring the weeknd
might be,dj luke nasty
little bit of you,chase bryant
heartbeat,carrie underwood
nobody to blame,chris stapleton
piece by piece,kelly clarkson
saved,ty dolla $ign featuring e-40
light it up,major lazer featuring nyla & fuse odg
head over boots,jon pardi
i know what you did last summer,shawn mendes & camila cabello
with them,young thug
ride,twenty one pilots
body,dreezy featuring jeremih
home alone tonight,luke bryan featuring karen fairchild
all the way up,fat joe, remy ma & jay z featuring french montana & infared
huntin'  fishin' & lovin' every day,luke bryan
digits,young thug
victorious,panic! at the disco
moolah,young greatness
something in the way you move,ellie goulding
new level,a$ap ferg featuring future
fast car,jonas blue featuring dakota
uber everywhere,madeintyo
make me like you,gwen stefani
locked out of heaven,bruno mars
diamonds,rihanna
ho hey,the lumineers
i knew you were trouble.,taylor swift
beauty and a beat,justin bieber featuring nicki minaj
die young,ke$ha
one more night,maroon 5
i cry,flo rida
home,phillip phillips
thrift shop,macklemore & ryan lewis featuring wanz
don't you worry child,swedish house mafia featuring john martin
scream & shout,will.i.am & britney spears
try,p!nk
some nights,fun.
let me love you (until you learn to love yourself),ne-yo
girl on fire,alicia keys featuring nicki minaj
the a team,ed sheeran
it's time,imagine dragons
gangnam style,psy
swimming pools (drank),kendrick lamar
all i want for christmas is you,mariah carey
cruise,florida georgia line featuring nelly
clique,kanye west, jay-z, big sean
f**kin problems,a$ap rocky featuring drake, 2 chainz & kendrick lamar
adorn,miguel
sweet nothing,calvin harris featuring florence welch
don't stop the party,pitbull featuring tjr
too close,alex clare
we are never ever getting back together,taylor swift
catch my breath,kelly clarkson
va va voom,nicki minaj
little talks,of monsters and men
i'm different,2 chainz
no worries,lil wayne featuring detail
as long as you love me,justin bieber featuring big sean
wanted,hunter hayes
hall of fame,the script featuring will.i.am
bandz a make her dance,juicy j featuring lil wayne & 2 chainz
i will wait,mumford & sons
thinkin bout you,frank ocean
little things,one direction
don't wake me up,chris brown
call me maybe,carly rae jepsen
better dig two,the band perry
lights,ellie goulding
daylight,maroon 5
blow me (one last kiss),p!nk
anything could happen,ellie goulding
somebody that i used to know,gotye featuring kimbra
every storm (runs out of rain),gary allan
goodbye in her eyes,zac brown band
radioactive,imagine dragons
feel again,onerepublic
til my last day,justin moore
how country feels,randy houser
beer money,kip moore
the only way i know,jason aldean with luke bryan & eric church
wicked games,the weeknd
birthday song,2 chainz featuring kanye west
cry,cassadee pope
ball,t.i. featuring lil wayne
when i was your man,bruno mars
madness,muse
remember you,wiz khalifa featuring the weeknd
kiss tomorrow goodbye,luke bryan
tornado,little big town
don't judge me,chris brown
creepin',eric church
somebody's heartbreak,hunter hayes
love sosa,chief keef
southern comfort zone,brad paisley
poetic justice,kendrick lamar featuring drake
skyfall,adele
live while we're young,one direction
one of those nights,tim mcgraw
begin again,taylor swift
diced pineapples,rick ross featuring wale & drake
guap,big sean
rest of my life,ludacris featuring usher & david guetta
el cerrito place,kenny chesney
all gold everything,trinidad james
neva end,future
celebration,game featuring chris brown, tyga, wiz khalifa & lil wayne
over you,cassadee pope
two black cadillacs,carrie underwood
did it for the girl,greg bates
turn on the lights,future
stubborn love,the lumineers
merry go 'round,kacey musgraves
the one that got away,jake owen
who booty,jonn hart featuring iamsu!
take a walk,passion pit
tip it on back,dierks bentley
ready or not,bridgit mendler
king wizard,kid cudi
ice,kelly rowland featuring lil wayne
young & gettin' it,meek mill featuring kirko bangz
representin',ludacris featuring kelly rowland
c'mon,ke$ha
crying on a suitcase,casey james
happy,pharrell williams
dark horse,katy perry featuring juicy j
talk dirty,jason derulo featuring 2 chainz
all of me,john legend
pompeii,bastille
team,lorde
drunk in love,beyonce featuring jay z
counting stars,onerepublic
say something,a great big world & christina aguilera
timber,pitbull featuring ke$ha
let her go,passenger
story of my life,one direction
the man,aloe blacc
show me,kid ink featuring chris brown
the monster,eminem featuring rihanna
burn,ellie goulding
let it go,idina menzel
royals,lorde
my hitta,yg featuring jeezy & rich homie quan
demons,imagine dragons
best day of my life,american authors
wake me up!,avicii
partition,beyonce
roar,katy perry
hey brother,avicii
can't remember to forget you,shakira featuring rihanna
radioactive,imagine dragons
turn down for what,dj snake & lil jon
paranoid,ty dolla $ign featuring b.o.b
adore you,miley cyrus
animals,martin garrix
bottoms up,brantley gilbert
young girls,bruno mars
love me again,john newman
wrecking ball,miley cyrus
brave,sara bareilles
hold on  we're going home,drake featuring majid jordan
when she says baby,jason aldean
blurred lines,robin thicke featuring t.i. + pharrell
i hold on,dierks bentley
sail,awolnation
loyal,chris brown featuring lil wayne & french montana or too $hort or tyga
chillin' it,cole swindell
drink a beer,luke bryan
doin' what she likes,blake shelton
neon lights,demi lovato
compass,lady antebellum
na na,trey songz
cop car,keith urban
give me back my hometown,eric church
human,christina perri
see you tonight,scotty mccreery
drink to that all night,jerrod niemann
helluva life,frankie ballard
#selfie,the chainsmokers
this is how we roll,florida georgia line featuring luke bryan
take me home,cash cash featuring bebe rexha
stoner,young thug
rewind,rascal flatts
19 you + me,dan + shay
let it go,demi lovato
man of the year,schoolboy q
up down (do this all day),t-pain featuring b.o.b
get me some of that,thomas rhett
not a bad thing,justin timberlake
the worst,jhene aiko
rap god,eminem
glory and gore,lorde
goodnight kiss,randy houser
do i wanna know?,arctic monkeys
everything i shouldn't be thinking about,thompson square
odio,romeo santos featuring drake
they don't know,rico love
love don't die,the fray
do you want to build a snowman?,kristen bell, agatha lee monn & katie lopez
ride,somo
the language,drake
stay,florida georgia line
on top of the world,imagine dragons
beat of the music,brett eldredge
everything is awesome!!!,tegan and sara featuring the lonely island
unconditionally,katy perry
oceans (where feet may fail),hillsong united
chocolate,the 1975
la la la,naughty boy featuring sam smith
the heart of dixie,danielle bradbery
for the first time in forever,kristen bell & idina menzel
friday night,eric paslay
wild wild love,pitbull featuring g.r.l.
waiting for superman,daughtry
classic,mkto
part ii (on the run),jay z featuring beyonce
the walker,fitz and the tantrums
collard greens,schoolboy q featuring kendrick lamar
do what u want,lady gaga featuring r. kelly
ain't it fun,paramore
automatic,miranda lambert
can't raise a man,k. michelle
lettin' the night roll,justin moore
sleeping with a friend,neon trees
i will always love you,whitney houston
if i ever fall in love,shai
rump shaker,wreckx-n-effect
how do you talk to an angel,the heights
i'd die without you (from "boomerang"),p.m. dawn
rhythm is a dancer,snap!
real love,mary j. blige
good enough,bobby brown
what about your friends,tlc
end of the road (from "boomerang"),boyz ii men
in the still of the nite (from "the jacksons"),boyz ii men
to love somebody,michael bolton
layla,eric clapton
love is on the way,saigon kick
sometimes love just ain't enough,patty smyth
do you believe in us,jon secada
jump around,house of pain
walking on broken glass,annie lennox
saving forever for you (from "beverly hills  90210"),shanice
would i lie to you?,charles & eddie
little miss can't be wrong,spin doctors
someone to hold,trey lorenz
free your mind,en vogue
where you goin' now,damn yankees
erotica,madonna
back to the hotel,n2deep
people everyday,arrested development
i wish the phone would ring,expose
flex,mad cobra
gangsta,bell biv devoe
keep the faith,bon jovi
the last song,elton john
faithful,go west
have you ever needed someone so bad,def leppard
drive,r.e.m.
just another day,jon secada
when she cries,restless heart
deeper and deeper,madonna
who's gonna ride your wild horses,u2
baby-baby-baby,tlc
humpin' around,bobby brown
slow and sexy,shabba ranks (featuring johnny gill)
i will be here for you,michael w. smith
all i want,toad the wet sprocket
she's playing hard to get,hi-five
never a time,genesis
chains around my heart,richard marx
forever love (from "mo' money"),color me badd
do i have to say the words?,bryan adams
please don't go,k.w.s.
i got a thang 4 ya!,lo-key?
walk on the ocean,toad the wet sprocket
love shoulda brought you home (from "boomerang"),toni braxton
when i look into your eyes,firehouse
here we go again!,portrait
right now,al b. sure!
7,prince and the new power generation
it's gonna be a lovely day,the s.o.u.l. s.y.s.t.e.m.
johnny have you seen her?,the rembrandts
love can move mountains,celine dion
baby i'm for real/natural high,after 7
no ordinary love,sade
give it up  turn it loose,en vogue
the hitman,ab logic
slow dance (hey mr. dj),r. kelly & public announcement
groovin' in the midnight,maxi priest
sesame's treet,smart e's
it's alright (from "south central"),classic example
i don't care,shakespear's sister
sweet november,troop
symphony of destruction,megadeth
jump!,the movement
yesterdays,guns n' roses
here it comes,mc serch
games,chuckii booker
digging in the dirt,peter gabriel
everything's gonna be alright,father m.c.
my name is prince,prince and the new power generation
360 degrees (what goes around),grand puba
baby  i believe in you,george lamond
jesus he knows me,genesis
these are days,10,000 maniacs
no one else on earth,wynonna
wicked,ice cube
i missed the bus,kris kross
i love you period,dan baird
nothing broken but my heart,celine dion
ain't nobody like you,miki howard
alone with you,tevin campbell
work to do,vanessa williams
crossover,epmd
always the last to know,del amitri
how do you do!,roxette
how about that,bad company
always tomorrow,gloria estefan
quality time,hi-five
i'm still waiting,jodeci
where does that leave love,george lamond
washed away,tom cochrane
really into you,around the way
check on it,beyonce featuring slim thug
grillz,nelly featuring paul wall, ali & gipp
run it!,chris brown
be without you,mary j. blige
stickwitu,the pussycat dolls
there it go! (the whistle song),juelz santana
don't forget about us,mariah carey
you're beautiful,james blunt
dirty little secret,the all-american rejects
laffy taffy,d4l
dance  dance,fall out boy
so sick,ne-yo
photograph,nickelback
unwritten,natasha bedingfield
because of you,kelly clarkson
one wish,ray j
gold digger,kanye west featuring jamie foxx
unpredictable,jamie foxx featuring ludacris
yo (excuse me miss),chris brown
my humps,the black eyed peas
i'm n luv (wit a stripper),t-pain featuring mike jones
l.o.v.e.,ashlee simpson
shake that,eminem featuring nate dogg
sugar  we're goin' down,fall out boy
when i'm gone,eminem
we belong together,gavin degraw
jesus  take the wheel,carrie underwood
i think they like me,dem franchize boyz featuring jermaine dupri, da brat & bow wow
temperature,sean paul
stay fly,three 6 mafia featuring young buck & eightball & mjg
we be burnin',sean paul
you and me,lifehouse
pump it,the black eyed peas
honky tonk badonkadonk,trace adkins
soul survivor,young jeezy featuring akon
everytime we touch,cascada
i'm sprung,t-pain
beverly hills,weezer
kryptonite (i'm on it),purple ribbon all-stars
feel good inc,gorillaz
don't cha,the pussycat dolls featuring busta rhymes
fireman,lil wayne
rompe,daddy yankee
wake me up when september ends,green day
hung up,madonna
nasty girl,the notorious b.i.g. featuring diddy, nelly, jagged edge & avery storm
if it's lovin' that you want,rihanna
we belong together,mariah carey
must be doin' somethin' right,billy currington
lean wit it  rock wit it,dem franchize boyz featuring lil peanut & charlay
turn it up,chamillionaire featuring lil' flip
luxurious,gwen stefani
here we go,trina featuring kelly rowland
perfect situation,weezer
fresh azimiz,bow wow featuring j-kwon & jermaine dupri
touch it,busta rhymes
when i get where i'm going,brad paisley featuring dolly parton
upside down,jack johnson
like we never loved at all,faith hill
boondocks,little big town
better days,goo goo dolls
who i am hates who i've been,relient k
rodeo,juvenile
georgia,ludacris & field mob featuring jamie foxx
soul meets body,death cab for cutie
walk away,kelly clarkson
tonight i wanna cry,keith urban
she let herself go,george strait
come a little closer,dierks bentley
kerosene,miranda lambert
heard 'em say,kanye west featuring adam levine
tequila makes her clothes fall off,joe nichols
your man,josh turner
just might (make me believe),sugarland
bat country,avenged sevenfold
lights and sounds,yellowcard
boyfriend,ashlee simpson
i should have cheated,keyshia cole
hypnotize,system of a down
my old friend,tim mcgraw
gotta go,trey songz
love,keyshia cole
looking for you,kirk franklin
unbreakable,alicia keys
believe,brooks & dunn
breaking free,zac efron, andrew seeley & vanessa anne hudgens
ms. new booty,bubba sparxxx featuring ying yang twins & mr. collipark
who says you can't go home,bon jovi
twisted transistor,korn
have a nice day,bon jovi
she don't tell me to,montgomery gentry
get drunk and be somebody,toby keith
beep,the pussycat dolls featuring will.i.am
oh yes (aka 'postman'),juelz santana
living in fast forward,kenny chesney
cheatin',sara evans
miss me baby,chris cagle
king without a crown,matisyahu
ever the same,rob thomas
get'cha head in the game,andrew seeley
girlfriend,avril lavigne
give it to me,timbaland featuring nelly furtado & justin timberlake
don't matter,akon
glamorous,fergie featuring ludacris
buy u a drank (shawty snappin'),t-pain featuring yung joc
the sweet escape,gwen stefani featuring akon
i tried,bone thugs-n-harmony featuring akon
this is why i'm hot,mims
u + ur hand,p!nk
cupid's chokehold/breakfast in america,gym class heroes featuring patrick stump
before he cheats,carrie underwood
beautiful liar,beyonce & shakira
last night,diddy featuring keyshia cole
i'm a flirt,r. kelly or bow wow (featuring t.i. & t-pain)
pop  lock & drop it,huey
lost without u,robin thicke
what i've done,linkin park
if everyone cared,nickelback
like a boy,ciara
it's not over,daughtry
the way i live,baby boy da prince featuring lil boosie
say it right,nelly furtado
home,daughtry
what goes around...comes around,justin timberlake
go getta,young jeezy featuring r. kelly
face down,the red jumpsuit apparatus
get it shawty,lloyd
outta my system,bow wow featuring t-pain & johnta austin
2 step,unk
rock yo hips,crime mob featuring lil scrappy
better than me,hinder
anyway,martina mcbride
throw some d's,rich boy featuring polow da don
summer love,justin timberlake
irreplaceable,beyonce
we takin' over,dj khaled featuring t.i., akon, rick ross, fat joe, lil' wayne & baby
how to save a life,the fray
ice box,omarion
because of you,ne-yo
wasted,carrie underwood
big girls don't cry,fergie
walk it out,unk
last dollar (fly away),tim mcgraw
keep holding on,avril lavigne
with love,hilary duff
over it,katharine mcphee
buddy,musiq soulchild
you,lloyd featuring lil wayne
this ain't a scene  it's an arms race,fall out boy
stand,rascal flatts
thnks fr th mmrs,fall out boy
ticks,brad paisley
hey there delilah,plain white t's
good directions,billy currington
candyman,christina aguilera
teardrops on my guitar,taylor swift
settlin',sugarland
little wonders,rob thomas
doe boy fresh,three 6 mafia featuring chamillionaire
stolen,dashboard confessional
she's like the wind,lumidee featuring tony sunshine
forever,papa roach
a different world,bucky covington
makes me wonder,maroon 5
lost in this moment,big & rich
long trip alone,dierks bentley
top back,t.i.
high maintenance woman,toby keith
like this,kelly rowland featuring eve
moments,emerson drive
read my mind,the killers
umbrella,rihanna featuring jay-z
into the ocean,blue october
beer in mexico,kenny chesney
look after you,the fray
grace kelly,mika
on the hotline,pretty ricky
a woman's love,alan jackson
find out who your friends are,tracy lawrence
party like a rockstar,shop boyz
please don't go,tank
stupid boy,keith urban
it's me snitches,swizz beatz
breath,breaking benjamin
smile,lily allen
when i see u,fantasia
i'm throwed,paul wall featuring jermaine dupri
lucky man,montgomery gentry
upgrade u,beyonce featuring jay z
when you're gone,avril lavigne
you know i'm no good,amy winehouse
ladies love country boys,trace adkins
don't make me,blake shelton
a feelin' like that,gary allan
wrapped,george strait
i'll wait for you,joe nichols
johnny cash,jason aldean
me and god,josh turner
dig,incubus
get buck,young buck
thank god i found you,mariah carey featuring joe & 98 degrees
i knew i loved you,savage garden
what a girl wants,christina aguilera
get it on tonite,montell jordan
smooth,santana featuring rob thomas
all the small things,blink-182
hot boyz,missy "misdemeanor" elliott featuring nas, eve & q-tip
maria maria,santana featuring the product g&b
bring it all to me,blaque
show me the meaning of being lonely,backstreet boys
that's the way it is,celine dion
back at one,brian mcknight
blue (da ba dee),eiffel 65
bye bye bye,'n sync
take a picture,filter
say my name,destiny's child
i need to know,marc anthony
amazed,lonestar
it feels so good,sonique
then the morning comes,smash mouth
breathe,faith hill
my love is your love,whitney houston
never let you go,third eye blind
he can't love u,jagged edge
untitled (how does it feel),d'angelo
thong song,sisqo
u know what's up,donell jones
i wanna know,joe
falls apart,sugar ray
meet virginia,train
cowboy take me away,dixie chicks
my best friend,tim mcgraw
shake your bon-bon,ricky martin
love is blind,eve featuring faith evans
learn to fly,foo fighters
forgot about dre,dr. dre featuring eminem
back at one,mark wills
one night stand,j-shin featuring latocha scott
smile,lonestar
everything you want,vertical horizon
i don't wanna,aaliyah
i wanna love you forever,jessica simpson
american pie,madonna
i like it,sammie
the best day,george strait
sexual (li da di),amber
g'd up,snoop dogg presents tha eastsidaz
hanginaround,counting crows
black balloon,goo goo dolls
what do you say,reba
rhythm divine,enrique iglesias
from the bottom of my broken heart,britney spears
how do you like me now?!,toby keith
got your money,ol' dirty bastard featuring kelis
dear lie,tlc
big deal,leann rimes
got to get it,sisqo featuring make it hot
24/7,kevon edmonds
best friend,puff daddy featuring mario winans & hezekiah walker & the love fe
the great beyond,r.e.m.
lessons learned,tracy lawrence
he didn't have to be,brad paisley
only god knows why,kid rock
none of ur friends business,ginuwine
love's the only house,martina mcbride
waiting for tonight,jennifer lopez
no more rain (in this cloud),angie stone
i try,macy gray
another dumb blonde,hoku
this woman needs,shedaisy
because you love me,jo dee messina
otherside,red hot chili peppers
what's my name,dmx
if you love me,mint condition
dancin',guy
put your hand in mine,tracy byrd
i need a hot girl,hot boys
stay the night,imx
feelin' so good,jennifer lopez featuring big pun & fat joe
when i said i do,clint black
no leaf clover,metallica
girl on tv,lfo
i learned from the best,whitney houston
do it again (put ya hands up),jay-z featuring beanie sigel & amil
the best man i can be,ginuwine, r.l., tyrese, case
do what you gotta do,garth brooks
been there,clint black with steve wariner
angels,robbie williams
you can do it,ice cube featuring mack 10 & ms. toi
caught out there,kelis
candy,mandy moore
smoke rings in the dark,gary allan
re-arranged,limp bizkit
deep inside,mary j. blige
pop a top,alan jackson
breathe and stop,q-tip
guerrilla radio,rage against the machine
left  right  left,drama
freakin' it,will smith
u understand,juvenile
gonna make you sweat (everybody dance now),c+c music factory
all the man that i need,whitney houston
one more try,timmy t.
the first time,surface
someday,mariah carey
where does my heart beat now,celine dion
i'll give all my love to you,keith sweat
disappear,inxs
play that funky music,vanilla ice
love will never do (without you),janet jackson
wicked game,chris isaak
i saw red,warrant
love makes things happen,pebbles
sensitivity,ralph tresvant
around the way girl,ll cool j
after the rain,nelson
show me the way,styx
all this time,sting
heat of the moment,after 7
high enough,damn yankees
if you needed somebody,bad company
this house,tracie spencer
moneytalks,ac/dc
just another dream,cathy dennis
get here,oleta adams
coming out of the dark,gloria estefan
iesha,another bad creation
deeper shade of soul,urban dance squad
i'm not in love,will to power
waiting for love,alias
signs,tesla
hold you tight,tara kemp
round and round,tevin campbell
it never rains (in southern california),tony toni tone
waiting for that day,george michael
i'll do 4 u,father m.c.
from a distance,bette midler
i've been thinking about you,londonbeat
spend my life,slaughter
justify my love,madonna
don't hold back your love,daryl hall john oates
i don't know anybody else,black box
candy,iggy pop with kate pierson
you're in love,wilson phillips
i'll be by your side,stevie b
i've been waiting for you,guys next door
power of love,deee-lite
this is ponderous,2nu
because i love you (the postman song),stevie b
something in my heart,michel'le
chasin' the wind,chicago
my side of the bed,susanna hoffs
mother's pride,george michael
miles away,winger
the way you do the things you do,ub40
shelter me,cinderella
sure lookin',donny osmond
love takes time,mariah carey
rico suave,gerardo
here comes the hammer,m.c. hammer
ride the wind,poison
no matter what,george lamond (duet with brenda k. starr)
when will i see you smile again?,bell biv devoe
the shoop shoop song (it's in his kiss),cher
sadeness part 1,enigma
impulsive,wilson phillips
night and day,bette midler
just the way it is  baby,the rembrandts
together forever,lisette melendez
for you,the outfield
melt in your mouth,candyman
remember my name,house of lords
who said i would,phil collins
secret,heart
easy come easy go,winger
tom's diner,dna featuring suzanne vega
mercy mercy me (the ecology)/i want you,robert palmer
wiggle it,2 in a room
i'm your baby tonight,whitney houston
new york minute,don henley
something to believe in,poison
unchained melody,the righteous brothers
funk boutique,the cover girls
just a little bit longer,maxi priest
how to dance,bingo boys featuring princessa
cry for help,rick astley
i wanna get with u,guy
give it up,zz top
stranded,heart
what's it gonna be,jellybean featuring niki haris
the ghetto,too $hort
you gotta love someone,elton john
another sleepless night,shawn christopher
house full of reasons,jude cole
jealousy,the adventures of stevie v
temple of love,harriet
still got the blues,gary moore
feels good,tony toni tone
how can you expect to be taken seriously?,pet shop boys
groove is in the heart,deee-lite
rude boy,rihanna
nothin' on you,b.o.b featuring bruno mars
hey  soul sister,train
break your heart,taio cruz featuring ludacris
in my head,jason derulo
need you now,lady antebellum
telephone,lady gaga featuring beyonce
imma be,the black eyed peas
baby,justin bieber featuring ludacris
omg,usher featuring will.i.am
say aah,trey songz featuring fabolous
carry out,timbaland featuring justin timberlake
breakeven,the script
bedrock,young money featuring lloyd
tik tok,ke$ha
my chick bad,ludacris featuring nicki minaj
young forever,jay-z + mr. hudson
all the right moves,onerepublic
your love is my drug,ke$ha
you and your heart,jack johnson
bad romance,lady gaga
over,drake
whataya want from me,adam lambert
how low,ludacris
i made it (cash money heroes),kevin rudolf featuring birdman, jay sean, & lil wayne
hey daddy (daddy's home),usher featuring plies
when i look at you,miley cyrus
winner,jamie foxx featuring justin timberlake & t .i.
say something,timbaland featuring drake
live like we're dying,kris allen
american honey,lady antebellum
sexy chick,david guetta featuring akon
eenie meenie,sean kingston & justin bieber
haven't met you yet,michael buble
according to you,orianthi
blah blah blah,ke$ha featuring 3oh!3
i'm awesome,spose
i gotta feeling,the black eyed peas
solo,iyaz
naturally,selena gomez & the scene
today was a fairytale,taylor swift
heartbreak warfare,john mayer
lil freak,usher featuring nicki minaj
gimmie that girl,joe nichols
highway 20 ride,zac brown band
replay,iyaz
tie me down,new boyz featuring ray j
bulletproof,la roux
everything to me,monica
alejandro,lady gaga
life after you,daughtry
halfway gone,lifehouse
neighbors know my name,trey songz
hello good morning,diddy - dirty money featuring t.i.
temporary home,carrie underwood
a little more country than that,easton corbin
steady mobbin',young money featuring gucci mane
'til summer comes around,keith urban
if we ever meet again,timbaland featuring katy perry
lemonade,gucci mane
ain't back yet,kenny chesney
drop the world,lil wayne featuring eminem
the man i want to be,chris young
all i do is win,dj khaled featuring t-pain, ludacris, snoop dogg & rick ross
i'm back,t.i.
the house that built me,miranda lambert
don't let me fall,b.o.b
hillbilly bone,blake shelton featuring trace adkins
beamer  benz  or bentley,lloyd banks featuring juelz santana
pray for you,jaron and the long road to love
