Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Label
john van tongeren,salvation,2007,5,0.485,0.675,0,-8.837,1,0.0309,0.0533,0.95,0.157,0.912,150.181,0
adrienne pierce,laundry & dishes,2007,1,0.497,0.362,9,-7.671,1,0.0252,0.374,1.11E-05,0.105,0.142,152.027,0
jonas brothers,when you look me in the eyes,2007,8,0.393,0.767,2,-3.685,1,0.0337,0.0269,0,0.27,0.506,136.047,1
atari teenage riot,live at brixton academy 1999,2000,7,0.0973,0.677,8,-7.61,1,0.386,0.00159,0.395,0.353,0.0331,58.258,0
f.i.r.,i am here,2010,1,0.416,0.783,5,-5.707,0,0.0739,0.151,0,0.101,0.424,172.074,0
kapelle herrenweide,nie mehr heim,2014,5,0.242,0.765,4,-4.555,0,0.052,0.00415,0.000485,0.295,0.258,167.111,0
seether,fine again,2002,1,0.445,0.856,6,-2.978,0,0.0287,0.000501,0.0113,0.232,0.38,175.542,1
sick on the bus,who r ya,2002,10,0.191,0.985,9,-4.082,0,0.382,0.000222,0.0113,0.0402,0.155,174.422,0
kim wilson,got to let you go,2001,1,0.374,0.585,5,-10.227,0,0.0481,0.907,0.116,0.956,0.727,163.376,0
vanessa hudgens,say ok,2006,1,0.472,0.698,7,-6.95,1,0.0484,0.00847,0.00257,0.113,0.512,124.866,1
kasia stankiewicz,zolte slonie,2006,11,0.534,0.578,0,-7.283,1,0.0251,0.0472,0.235,0.179,0.179,133.989,0
dj godfather,from da back,2000,12,0.815,0.871,10,-7.061,0,0.271,0.00133,0.00184,0.129,0.963,166.52,0
black eyed peas / les nubians / mos def,on my own,2000,1,0.697,0.677,7,-6.702,1,0.325,0.069,0.000197,0.123,0.386,94.923,0
falco,monarchy now,2011,1,0.646,0.92,6,-6.247,1,0.107,0.0432,6.38E-05,0.414,0.677,94.795,0
mariah carey,make it happen,1991,9,0.811,0.53,2,-8.537,0,0.0355,0.0067,0.0285,0.0801,0.75,107.853,1
autumnblaze,her golden robe in silence veiled,2009,6,0.353,0.602,9,-11.948,0,0.0377,0.0126,0.591,0.1,0.451,118.751,0
kelly rowland,stole,2002,10,0.649,0.718,7,-4.984,0,0.0594,0.00676,4.26E-06,0.174,0.477,79.993,1
nightwish,the poet and the pendulum,2007,9,0.385,0.723,7,-6.205,0,0.0402,0.00935,0.0244,0.11,0.191,145.038,0
dokken,disease,2008,5,0.313,0.985,6,-4.999,1,0.102,0.000376,0.00185,0.323,0.173,178.159,0
the soup dragons,divine thing,1992,1,0.682,0.951,7,-3.952,1,0.0757,0.0117,0.000134,0.755,0.823,118.399,1
eminem,lose yourself,2005,12,0.698,0.732,2,-4.522,1,0.266,0.00704,0.000647,0.359,0.0689,171.431,1
loop guru,the mystery epoch,2001,7,0.121,0.415,9,-12.057,1,0.0494,0.87,0.0462,0.208,0.173,177.239,0
tlc,silly ho,1999,2,0.837,0.784,9,-3.874,1,0.0866,0.0387,0.471,0.32,0.836,145.578,1
the murmurs,you suck,1994,1,0.458,0.477,1,-7.767,1,0.0308,0.492,9.32E-06,0.164,0.258,149.33,1
the irish tenors,the croppy boy,2011,2,0.26,0.035,10,-21.021,1,0.0367,0.951,2.48E-06,0.109,0.0978,94.532,0
mira,openbare weg,2006,11,0.591,0.342,4,-8.3,1,0.0319,0.93,2.39E-05,0.0968,0.179,84.678,0
jennifer lopez,we gotta talk,2001,7,0.783,0.896,5,-3.942,1,0.0892,0.0253,0.00047,0.112,0.841,132.688,0
tigertailz,thrill pistol,2017,3,0.525,0.865,2,-6.527,1,0.0459,4.71E-05,0.000474,0.123,0.503,133.962,0
carrie underwood,temporary home,2014,12,0.432,0.353,0,-6.341,1,0.0258,0.719,0,0.0897,0.19,81.289,1
camron,what means the world to you,2005,6,0.857,0.851,0,-7.851,1,0.293,0.0849,0,0.316,0.899,143.737,1
williamson,cool people make me tired,2005,1,0.617,0.559,11,-8.805,1,0.026,0.2,0.899,0.105,0.553,140.078,0
3 doors down,here without you,2002,1,0.536,0.55,10,-6.733,0,0.0248,0.0537,0,0.134,0.234,144.018,1
martina mcbride,i just call you mine,2009,3,0.419,0.637,6,-5.552,1,0.0328,0.0409,0,0.13,0.212,148.134,1
keb mo,the door,2016,4,0.705,0.669,9,-6.66,1,0.0462,0.0408,0.00497,0.979,0.501,99.872,0
noemi,per colpa tua,2009,10,0.612,0.921,0,-2.633,1,0.0594,0.00345,0,0.181,0.644,144.029,0
through the eyes of the dead,outro,2000,10,0.386,0.0228,1,-33.416,1,0.0579,0.449,0.759,0.112,0.0399,196.021,0
t-pain,reverse cowgirl,2010,3,0.482,0.67,1,-6.373,1,0.0409,0.00829,0,0.181,0.367,129.869,1
halfway to gone,turnpike,2004,4,0.348,0.795,11,-5.114,0,0.0466,1.47E-05,0.733,0.0466,0.213,122.529,0
dexys midnight runners,spiritual passion (aka dubious),2007,1,0.502,0.786,4,-8.686,0,0.0303,0.00592,0.871,0.242,0.822,118.886,0
hatiras,lost in space,2006,5,0.673,0.991,1,-5.273,0,0.119,0.000288,0.13,0.373,0.34,130.013,0
zombie girl,i want it,2006,5,0.514,0.959,0,-5.517,1,0.0422,0.0531,0.33,0.0753,0.408,129.991,0
redman,jam 4 u,1992,1,0.697,0.527,0,-7.488,1,0.339,0.00862,0.0118,0.362,0.657,93.97,0
stille volk,orgasme tellurique,2003,6,0.549,0.73,5,-12.629,1,0.0319,0.348,2.75E-05,0.15,0.817,149.971,0
jaguares,el momento,2001,7,0.528,0.563,9,-10.355,0,0.0313,0.277,0.107,0.12,0.356,119.055,0
first blood,execution,2006,5,0.335,0.963,4,-2.295,0,0.151,0.00229,0.0122,0.35,0.406,160.431,0
the four pennies,juliet,2018,11,0.282,0.255,8,-12.74,1,0.031,0.834,0,0.102,0.229,88.457,0
restless heart,when she cries,1998,5,0.666,0.521,9,-10.993,1,0.0292,0.114,0,0.0604,0.361,105.223,1
richie rich,do gs get to go to heaven?,1996,11,0.673,0.427,2,-10.131,1,0.248,0.602,0.000663,0.096,0.444,84.127,1
casiotone for the painfully alone,white jetta,2009,4,0.658,0.868,4,-9.848,0,0.0892,0.0468,0.075,0.0749,0.0389,90.057,0
linkin park,leave out all the rest,2007,5,0.509,0.629,0,-6.434,1,0.0335,0.209,1.99E-06,0.369,0.237,80.012,1
u2,even better than the real thing,1991,11,0.505,0.759,7,-6.871,1,0.0303,0.00112,0.000365,0.168,0.65,128.63,1
garbage,vow,2007,1,0.487,0.922,0,-4.551,1,0.0454,0.000398,0.00759,0.589,0.435,126.337,1
steve riley & the mamou playboys,katherine,2008,1,0.527,0.68,7,-7.659,1,0.0391,0.48,1.67E-05,0.164,0.785,125.145,0
kelly clarkson,cry,2009,3,0.475,0.771,10,-3.777,1,0.0335,0.00276,0,0.126,0.147,142.219,0
sade,all about our love,2000,11,0.799,0.521,4,-8.421,1,0.0355,0.182,0.00975,0.0913,0.646,81.043,0
plain white ts,rhythm of love,2010,1,0.531,0.542,8,-7.721,1,0.0432,0.356,0,0.119,0.726,171.878,1
bad azz,tha stand,1998,1,0.677,0.712,8,-5.554,1,0.112,0.000914,0,0.112,0.378,86.992,0
robben ford,spoonful,2009,1,0.528,0.879,11,-6.392,0,0.0967,0.0185,0.114,0.877,0.639,126.099,0
5th ward boyz,ghetto curse words (chopped&screwed),2007,3,0.893,0.395,1,-10.094,0,0.485,0.0964,0.000143,0.344,0.505,143.015,0
city high,the only one i trust,2001,1,0.553,0.5,2,-9.509,0,0.0484,0.343,5.56E-06,0.141,0.304,92.971,0
belinda carlisle,do you feel like i feel?,2013,1,0.574,0.897,2,-6.599,1,0.0387,6.78E-05,1.03E-05,0.256,0.661,122.977,1
george lopez,memories,2001,8,0.381,0.697,2,-14.538,1,0.946,0.905,0,0.892,0.408,73.571,0
joe mcbride,one eyed jack,2005,1,0.606,0.654,7,-9.897,0,0.0309,0.461,0.0614,0.122,0.527,91.95,0
warren barfield,unleashed,2006,2,0.703,0.693,4,-6.274,1,0.0663,0.276,0,0.537,0.933,98.092,0
k-os,clap ur handz,2004,1,0.685,0.833,0,-6.337,1,0.212,0.622,2.83E-06,0.167,0.592,104.237,0
zeromancer,send me an angel,2008,10,0.597,0.672,2,-6.15,0,0.0356,3.65E-05,0.0455,0.372,0.265,130.038,0
marc shaiman,best in la,2007,1,0.122,0.0145,5,-25.444,1,0.0378,0.993,0.746,0.0771,0.0397,75.588,0
brooks & dunn featuring reba mcentire,cowgirls dont cry,2009,9,0.648,0.75,9,-4.147,1,0.0307,0.0801,4.23E-06,0.0863,0.639,114.988,1
northern state,last night,2004,8,0.896,0.756,6,-7.037,1,0.309,0.201,0,0.0701,0.618,97.02,0
prince and the new power generation,the morning papers,1992,10,0.514,0.719,0,-5.381,0,0.0443,0.177,4.09E-05,0.197,0.437,131.639,1
shania twain,raining on our love,1995,1,0.427,0.277,6,-11.581,1,0.0348,0.513,0,0.151,0.155,122.969,0
eyes set to kill,liar in the glass,2008,2,0.255,0.919,2,-3.769,1,0.143,3.65E-05,0.0118,0.197,0.411,91.978,0
vhs or beta,forever,2004,1,0.575,0.894,1,-6.187,0,0.0305,0.000138,0.252,0.124,0.452,123.873,0
the exies,creeper kamikaze,2003,1,0.471,0.765,10,-4.83,0,0.0335,0.0176,0,0.108,0.293,113.034,0
katy perry,teenage dream,2012,3,0.719,0.804,10,-4.581,1,0.0355,0.0132,3.02E-06,0.139,0.605,119.999,1
showbread,nothing matters anymore,2009,1,0.31,0.961,9,-3.794,1,0.0456,0.000396,0,0.656,0.234,164.939,0
amorphis,crimson wave,2001,4,0.521,0.859,9,-5.805,0,0.0306,3.29E-05,0.021,0.37,0.615,108.019,0
professor longhair,no buts - no maybes,2009,6,0.49,0.731,3,-7.931,1,0.0411,0.677,4.22E-05,0.227,0.964,166.322,0
baroness,wanderlust,2007,9,0.232,0.893,0,-5.954,0,0.0533,5.99E-05,0.512,0.291,0.553,163.002,0
glee cast featuring jonathan groff,bohemian rhapsody,2010,6,0.389,0.419,0,-7.111,0,0.0286,0.417,0,0.171,0.381,142.975,1
bersuit vergarabat,de onda,1998,1,0.648,0.521,4,-7.271,0,0.0566,0.0814,0,0.555,0.591,121.944,0
taylor swift,white horse,2008,1,0.578,0.34,0,-8.027,1,0.0264,0.305,0,0.104,0.223,92.702,1
red hot chili peppers,by the way,2002,7,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,1
2 minutos,14 botellas,2007,12,0.272,0.977,2,-5.769,1,0.0758,2.94E-06,0.425,0.405,0.674,113.508,0
daddy yankee,llamado de emergencia,2008,8,0.699,0.91,4,-4.405,0,0.036,0.217,2.66E-06,0.146,0.792,97.971,0
donnie mcclurkin,psalm 27,2000,8,0.546,0.631,5,-7.487,1,0.0608,0.477,9.91E-06,0.784,0.628,149.866,0
carl cox vs yousef,i want you (forever),2008,3,0.671,0.969,4,-5.683,0,0.0475,0.000475,0.822,0.0471,0.288,130,0
tranzas,mientras me quieras,2006,10,0.761,0.719,1,-7.548,1,0.0313,0.149,7.74E-05,0.0399,0.561,111.99,0
atman,lingan,2018,5,0.674,0.459,2,-14.559,1,0.04,0.787,0.879,0.0947,0.635,109.088,0
frankee,gotta man,2004,4,0.816,0.648,9,-8.709,0,0.395,0.423,0.00012,0.135,0.727,95.043,0
crystal bowersox,up to the mountain,2010,5,0.351,0.362,0,-6.573,1,0.0275,0.701,4.52E-06,0.122,0.151,115.135,1
cherrelle,into my eyes,1999,3,0.644,0.486,8,-6.015,0,0.0245,0.31,1.11E-06,0.12,0.329,78.953,0
les ogres de barback,flute,2001,1,0.202,0.183,0,-10.632,0,0.0414,0.504,0.0883,0.126,0.122,77.694,0
orbital,farenheit 303,1991,1,0.796,0.649,11,-15.884,1,0.0515,0.0148,0.904,0.0803,0.49,124.01,0
trick trick / obie trice,war,2005,1,0.881,0.573,10,-7.143,0,0.543,0.0107,2.78E-05,0.179,0.249,90.053,0
sandra mihanovich,cuatro estrofas,2017,11,0.274,0.379,9,-15.143,1,0.0651,0.94,0.00144,0.932,0.38,86.441,0
pyranja,nie wieder (live version),2006,1,0.474,0.833,4,-5.789,0,0.206,0.00794,0,0.355,0.654,171.737,0
joey mcintyre,stay the same,1999,3,0.629,0.553,2,-5.773,1,0.0297,0.0249,0,0.141,0.285,130.115,1
bullet for my valentine,suffocating under words of sorrow (what can i do),2007,6,0.397,0.978,7,-2.256,0,0.133,0.000718,1.47E-06,0.212,0.552,93.538,0
franz ferdinand,no you girls,2009,1,0.679,0.909,2,-4.129,0,0.0297,0.00915,3.27E-05,0.139,0.899,104.781,0
usher,can u get wit it,1994,8,0.619,0.527,5,-9.376,0,0.0628,0.0692,0,0.333,0.242,124.356,1
kings of leon,day old blues,2004,11,0.475,0.263,4,-9.783,1,0.0693,0.875,0,0.107,0.0693,85.494,0
takaru,idnnitkhtr,2004,8,0.3,0.981,2,-6.274,1,0.097,0.00262,0.927,0.545,0.0394,132.982,0
tina ann,i do (chris the greek remix),2004,10,0.647,0.943,8,-5.79,0,0.0376,0.00625,0.0169,0.0838,0.616,133.995,0
alexandre desplat,le chagrin de coco,2009,1,0.176,0.123,5,-19.615,0,0.0344,0.901,0.755,0.0779,0.0371,71.581,0
u2,the fly,1991,11,0.507,0.934,11,-8.888,0,0.0553,3.52E-05,0.0253,0.161,0.417,108.345,1
les brown,harlem nocturne,1994,1,0.325,0.196,7,-15.146,0,0.0273,0.923,0.0413,0.0963,0.276,87.606,0
pepper,point and shoot (demo),2007,3,0.465,0.752,9,-7.436,1,0.0505,0.161,0,0.0675,0.41,82.346,0
paul brown,side steppin,2005,1,0.85,0.669,5,-8.575,0,0.0322,0.182,0.0749,0.333,0.872,113.996,0
the black crowes,good morning captain,2009,8,0.318,0.565,7,-12.21,1,0.0358,0.223,0,0.715,0.463,131.953,0
the ataris,secret handshakes,2007,2,0.244,0.636,11,-3.799,0,0.0393,0.0191,0.000225,0.482,0.402,135.201,0
kris allen,no boundaries,2009,5,0.449,0.789,3,-3.114,1,0.0351,0.00357,0,0.0816,0.251,141.922,1
madonna,"you must love me (from evita"")""",1996,10,0.357,0.161,10,-14.789,1,0.0436,0.926,3.47E-05,0.146,0.267,88.746,1
paramore,ignorance,2009,9,0.522,0.964,11,-2.645,0,0.095,0.00109,0.000389,0.0387,0.51,170.944,1
peggy zina,o hiroteros ehthros mou,2009,5,0.698,0.742,7,-6.19,0,0.0408,0.46,0,0.0512,0.887,95.913,0
olivia ruiz,vitrier,2005,1,0.38,0.365,5,-7.723,0,0.0534,0.492,3.60E-06,0.372,0.42,158.394,0
jennifer lopez,still,2002,11,0.737,0.674,6,-5.196,1,0.0352,0.0513,0.000947,0.211,0.393,95.691,0
michael gettel,memory in the snow,1993,1,0.46,0.371,2,-13.148,1,0.0296,0.271,0.00904,0.0968,0.267,138.227,0
good charlotte,lifestyles of the rich and famous,2002,10,0.62,0.93,1,-3.685,1,0.0374,0.00043,0,0.0686,0.609,106.22,1
various production,bside,2009,4,0.578,0.552,1,-16.853,1,0.0558,0.00117,0.676,0.272,0.707,75.985,0
bleed the sky,kettle black,2008,6,0.474,0.942,3,-6.14,0,0.0952,0.00133,0.0294,0.217,0.157,116.057,0
coldplay,speed of sound (live),2005,5,0.534,0.843,11,-5.048,0,0.0414,0.000247,0.000241,0.923,0.281,122.993,0
fergie,big girls dont cry,2006,1,0.712,0.647,7,-4.277,1,0.0336,0.239,0,0.0955,0.292,113.116,1
les sexareenos,ruby d.,2012,2,0.385,0.977,11,-6.345,1,0.056,0.261,6.01E-05,0.397,0.923,96.408,0
the mars volta,take the veil cerpin taxt,2003,1,0.24,0.933,9,-3.397,0,0.14,0.00059,0.0211,0.112,0.387,91.56,0
sandi thom,wounded hearts,2008,5,0.343,0.669,4,-3.493,1,0.0363,0.319,0,0.105,0.578,169.874,0
moss,silent hill,2009,9,0.266,0.699,9,-7.491,0,0.0369,0.00384,0.631,0.511,0.133,111.115,0
yggdrasil,nordfjorloftet,1999,10,0.286,0.316,11,-14.689,1,0.0363,0.547,2.18E-06,0.371,0.374,99.318,0
zombie nation,kernkraft 400,2006,3,0.714,0.528,6,-8.789,1,0.0692,0.00415,0.854,0.0819,0.297,139.983,1
bersuit vergarabat,sencillamente,2005,1,0.747,0.62,6,-7.152,0,0.0269,0.323,0.000939,0.144,0.965,136.025,0
luther vandross,your secret love,1996,10,0.658,0.688,5,-7.049,0,0.0297,0.191,1.33E-06,0.173,0.424,143.783,1
rupaul,supermodel (you better work),1993,6,0.792,0.562,7,-11.379,1,0.0929,0.0152,7.48E-05,0.428,0.592,126.222,1
cypress hill,throw your set in the air,1995,10,0.776,0.731,9,-12.264,1,0.43,0.0945,0.000274,0.318,0.485,92.394,1
jake hess,i know where i am now,2006,1,0.606,0.327,3,-14.314,1,0.0554,0.835,5.03E-05,0.834,0.341,99.866,0
public announcement,body bumpin yippie-yi-yo,1998,1,0.782,0.363,2,-7.744,1,0.0441,0.0472,0,0.149,0.27,121.986,1
mis-teeq,scandalous,2004,7,0.734,0.668,0,-3.935,0,0.0349,0.0526,0,0.0925,0.651,99.971,1
irwin goodman,yhteinen koti,2016,5,0.64,0.583,2,-12.366,1,0.103,0.464,1.00E-06,0.176,0.631,94.996,0
bobaflex,medicine,2005,8,0.631,0.846,7,-4.359,1,0.034,0.00497,0,0.483,0.547,103.959,0
backstreet boys,incomplete,2005,6,0.437,0.589,4,-4.834,1,0.0331,0.231,0,0.0768,0.165,133.631,1
jeff scott soto,2 late 4 goodbyes,2005,11,0.427,0.872,6,-4.724,1,0.0507,0.0026,0,0.297,0.373,124.658,0
demi lovato,catch me,2009,1,0.425,0.283,4,-12.007,1,0.0387,0.481,0,0.289,0.467,92.66,1
tom petty,its good to be king,1994,10,0.523,0.622,2,-6.632,1,0.0245,0.0143,0.0065,0.297,0.446,147.878,1
sigmatropic,the blue side of the sun,2007,9,0.733,0.501,0,-8.836,1,0.0417,0.254,0.00234,0.207,0.37,117.943,0
kmd,get-u-now,2015,12,0.788,0.815,1,-8.088,1,0.249,0.0254,0.538,0.164,0.619,104.07,0
my chemical romance,na na na (na na na na na na na na na),2010,11,0.411,0.986,8,-2.522,0,0.0583,0.000264,0.00148,0.371,0.649,165.981,1
ginuwine,in those jeans,2003,4,0.691,0.541,1,-5.873,1,0.0776,0.508,0,0.0753,0.319,127.683,1
bad brains,at the atlantis,1996,1,0.339,0.927,3,-8.474,1,0.093,4.87E-06,0.813,0.353,0.711,135.266,0
glee cast,only the good die young,2010,10,0.572,0.885,0,-5.6,1,0.0866,0.288,0,0.0936,0.535,150.072,1
juanes,lo que me gusta a mi,2004,1,0.678,0.895,4,-5.339,1,0.0394,0.0582,0,0.0788,0.97,94.965,1
ll cool j,imagine that,2000,9,0.909,0.844,1,-4.743,0,0.221,0.358,3.08E-05,0.274,0.87,97.995,1
glee cast,lady is a tramp,2010,5,0.326,0.687,10,-3.785,0,0.0531,0.159,0,0.341,0.554,200.035,1
bersuit vergarabat,se viene,1998,1,0.588,0.886,9,-4.997,0,0.0641,0.00569,0,0.105,0.962,147.962,0
katy perry,firework,2012,3,0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124.072,1
rajery,mahafinaritra,2003,1,0.892,0.834,9,-7.35,0,0.0903,0.663,0.00139,0.115,0.501,99.561,0
kenny chesney,living in fast forward,2009,5,0.681,0.91,9,-5.22,1,0.0358,0.0233,0.000574,0.136,0.918,116.96,1
t.i.,asap,2004,11,0.79,0.645,9,-5.426,1,0.317,0.335,0,0.405,0.583,158.13,1
faithless,insomnia,2014,11,0.711,0.756,7,-10.637,1,0.0302,0.0352,0.00313,0.138,0.493,127.108,1
musiq,dontchange,2002,1,0.564,0.555,4,-6.611,1,0.0345,0.19,0,0.087,0.196,101.884,1
def leppard,when love & hate collide,2018,11,0.477,0.564,4,-8.582,1,0.028,0.0111,0,0.221,0.292,67.965,1
brian mcknight,on the down low,1995,1,0.771,0.693,1,-8.605,0,0.134,0.424,0.000337,0.07,0.706,93.021,1
nestor torres,this side of paradise,2005,6,0.674,0.75,7,-7.08,1,0.0319,0.207,0.0119,0.118,0.791,97.865,0
tinariwen,assouf,2007,2,0.518,0.702,9,-6.481,1,0.0662,0.539,0.163,0.0881,0.522,81.144,0
vanessa daou,evening,2018,4,0.686,0.519,1,-12.253,1,0.0405,0.212,0.00534,0.112,0.355,144.91,0
darryl worley,those less fortunate than i,2003,1,0.588,0.492,11,-6.537,1,0.0252,0.357,3.73E-06,0.119,0.134,79.47,0
ying yang twins,whistle while you twurk,2000,4,0.935,0.608,1,-7.236,0,0.085,0.00155,0,0.342,0.0664,101.992,1
story of the year,won threw ate,2010,2,0.42,0.99,5,-3.571,0,0.162,0.00143,0,0.399,0.125,144.038,0
stacie orrico,stuck,2003,1,0.377,0.904,4,-3.634,0,0.307,0.0747,0,0.334,0.595,200.566,1
robben ford,the champ,1997,1,0.655,0.599,2,-9.678,0,0.0266,0.0683,0.814,0.215,0.674,114.478,0
the tony rich project,like a woman,1996,1,0.644,0.454,10,-7.559,1,0.0405,0.0277,0.185,0.131,0.622,80.046,1
the proclaimers,im gonna be (500 miles),2003,9,0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,1
lil wayne,on fire,2009,1,0.447,0.874,11,-4.063,0,0.0493,0.00388,0.000607,0.139,0.54,132.11,1
jack johnson,fortunate fool,2011,4,0.781,0.267,4,-10.363,1,0.0508,0.614,0.00362,0.123,0.299,129.318,0
k-ci & jojo,tell me its real,1999,1,0.687,0.532,3,-6.763,1,0.0338,0.214,0,0.124,0.582,134.283,1
themselves,oversleeping,2009,10,0.629,0.938,6,-6.808,1,0.198,0.0293,0,0.369,0.693,116.708,0
daniel johnston,rock around the christmas tree,2006,5,0.339,0.683,4,-6.468,1,0.0595,0.704,0.165,0.135,0.411,132.365,0
hannah montana,he could be the one,2009,1,0.602,0.894,4,-3.975,1,0.032,0.00154,0,0.433,0.643,125.988,1
chris young,gettin you home,2009,8,0.639,0.678,7,-5.02,1,0.0278,0.44,1.45E-06,0.221,0.531,106.966,1
the killers,all these things that ive done,2004,1,0.558,0.74,6,-6.22,1,0.0448,0.00192,8.97E-06,0.129,0.217,118.293,1
boyz ii men,motownphilly,2003,10,0.756,0.858,2,-9.649,1,0.0682,0.0171,2.17E-05,0.194,0.758,114.144,1
boss,deeper,1997,1,0.592,0.847,4,-6.513,0,0.336,0.0564,0,0.386,0.653,83.324,1
incubus,a crow left of the murder,2004,2,0.385,0.893,9,-4.123,1,0.0386,0.018,0.000589,0.125,0.556,180.39,0
bone thugs-n-harmony,murder one,2000,2,0.734,0.672,9,-4.732,1,0.0908,0.32,0,0.302,0.447,75.986,0
ana popovic,shadow after dark,2012,2,0.332,0.798,8,-7.848,1,0.0839,0.0301,0.000929,0.845,0.716,96.244,0
alicia keys,if i aint got you,2003,12,0.609,0.445,7,-9.129,1,0.106,0.603,6.77E-06,0.104,0.166,118.393,1
donell jones,put me down,2002,6,0.792,0.648,1,-6.827,0,0.0469,0.0702,0.00531,0.0693,0.76,101.406,1
dj harry,round the wheel,2001,7,0.649,0.916,1,-9.625,1,0.0362,0.13,0.865,0.18,0.802,133.537,0
love and rockets,sweet lover hangover,2003,6,0.508,0.75,10,-9.302,1,0.0303,0.00136,0.576,0.126,0.489,97.026,0
mariah carey,love takes time,1990,6,0.602,0.338,11,-12.371,1,0.0293,0.727,0,0.0849,0.25,126.232,1
mindy mccready,guys do it all the time,1996,4,0.551,0.794,0,-5.995,1,0.0341,0.0594,2.01E-05,0.231,0.587,165.813,1
eminem,the way i am,2000,5,0.81,0.871,4,-2.672,0,0.241,0.13,0,0.313,0.299,87.328,0
k-os,b-boy stance,2004,1,0.768,0.874,0,-5.766,0,0.248,0.199,0,0.0789,0.843,98.038,0
seether,careless whisper,2007,1,0.413,0.943,2,-4.173,1,0.104,5.34E-05,0.00487,0.068,0.328,134.077,1
sheryl crow,the first cut is the deepest,2003,1,0.498,0.68,2,-5.34,1,0.0332,0.0483,0,0.169,0.695,160.043,1
a tundra,the doug mccomb over,2010,1,0.41,0.652,2,-9.919,1,0.075,0.00804,0.00947,0.0811,0.311,127.406,0
wisin & yandel,rakata,2005,1,0.743,0.787,1,-5.402,1,0.262,0.0352,0,0.0732,0.719,192.117,1
bt,mercury & solace,1999,10,0.59,0.733,10,-11.744,0,0.0345,0.00035,0.748,0.119,0.233,135.999,0
martin sexton,white christmas,2005,11,0.385,0.0772,3,-10.49,1,0.033,0.907,3.42E-06,0.098,0.279,178.068,0
shania twain,im gonna getcha good!,2002,1,0.723,0.789,1,-4.813,1,0.0302,0.0441,0,0.0612,0.946,124.013,1
mary j. blige,ooh!,2003,1,0.635,0.8,11,-6.075,0,0.0339,0.000284,0.000254,0.0627,0.283,93.06,1
bryan adams,do i have to say the words?,1991,9,0.507,0.581,7,-9.315,1,0.0294,0.0804,3.19E-06,0.167,0.485,128.095,1
white town,your woman,1997,2,0.815,0.605,5,-9.118,0,0.0368,0.033,0.684,0.114,0.795,102.643,1
k-os,heaven only knows,2002,1,0.677,0.404,5,-8.562,0,0.258,0.548,0,0.108,0.853,90.075,0
britney spears,someday (i will understand),2005,9,0.523,0.561,0,-9.444,0,0.0275,0.732,2.55E-05,0.126,0.176,135.972,0
jimi hendrix,lullaby for the summer,2010,3,0.421,0.926,10,-7.187,0,0.0403,0.0561,0.000759,0.0276,0.94,128.997,0
dean martin,pennies from heaven,2011,1,0.256,0.102,8,-13.863,1,0.0313,0.95,0.000282,0.208,0.232,62.594,0
blessid union of souls,i wanna be there,1997,1,0.506,0.657,7,-7.291,1,0.0278,0.0373,0,0.0432,0.496,140.481,1
shania twain,it only hurts when im breathing,2002,1,0.331,0.61,10,-5.064,0,0.0315,0.342,0,0.0988,0.452,76.113,1
godsmack,speak,2007,1,0.338,0.887,7,-6.447,1,0.0424,2.51E-06,0.00138,0.0616,0.561,97.018,1
chris walker,take time,1993,1,0.648,0.743,7,-9.595,0,0.0592,0.0799,0,0.125,0.81,97.059,1
sergio mendes,puzzle of hearts,1996,1,0.553,0.464,7,-7.876,1,0.0264,0.164,0,0.0894,0.194,103.234,0
gabriel yared,ship in a painting,2007,1,0.195,0.481,9,-15.872,1,0.0391,0.152,0.966,0.0885,0.101,63.904,0
marc dorsey,love you again,1999,8,0.671,0.471,7,-6.943,1,0.0285,0.461,0,0.179,0.524,138.021,0
jesse malin,almost grown,2003,1,0.569,0.851,11,-5.749,1,0.0381,0.0726,0,0.0611,0.925,137.854,0
duran duran,ordinary world,1993,2,0.472,0.652,1,-10.171,0,0.0305,0.0131,1.12E-05,0.14,0.401,140.124,1
korn,hey daddy,1999,11,0.465,0.803,7,-6.764,1,0.0452,5.18E-05,0.0465,0.0809,0.493,93.899,0
outkast,rosa parks,1998,9,0.792,0.701,6,-7.198,0,0.283,0.104,0,0.761,0.251,103.888,1
foo fighters,overdrive,2002,10,0.393,0.985,2,-2.594,1,0.113,0.000196,0,0.153,0.309,157.958,0
atb,collides with beauty,2004,5,0.595,0.896,9,-6.789,0,0.0407,0.0418,0.603,0.681,0.797,136.988,0
the pharcyde,the climb/paranoia,2004,7,0.739,0.856,9,-5.708,0,0.283,0.119,1.03E-05,0.237,0.467,80.935,0
zeromancer,ammonite,2009,2,0.557,0.708,2,-6.821,1,0.0274,0.0632,0.107,0.0895,0.258,90.023,0
zombie girl,the darkness (komor kommando mix),2009,9,0.659,0.637,11,-8.497,0,0.0314,0.00205,0.0102,0.1,0.0858,120.029,0
bmx bandits,after i made love to you,2007,10,0.448,0.388,1,-10.3,1,0.0281,0.696,0.0674,0.131,0.335,127.908,0
